AgeGroup,Sex,EuropeanStandardPopulation
0-4 years,Male,5000
0-4 years,Female,5000
5-9 years,Male,5500
5-9 years,Female,5500
10-14 years,Male,5500
10-14 years,Female,5500
15-19 years,Male,5500
15-19 years,Female,5500
20-24 years,Male,6000
20-24 years,Female,6000
25-29 years,Male,6000
25-29 years,Female,6000
30-34 years,Male,6500
30-34 years,Female,6500
35-39 years,Male,7000
35-39 years,Female,7000
40-44 years,Male,7000
40-44 years,Female,7000
45-49 years,Male,7000
45-49 years,Female,7000
50-54 years,Male,7000
50-54 years,Female,7000
55-59 years,Male,6500
55-59 years,Female,6500
60-64 years,Male,6000
60-64 years,Female,6000
65-69 years,Male,5500
65-69 years,Female,5500
70-74 years,Male,5000
70-74 years,Female,5000
75-79 years,Male,4000
75-79 years,Female,4000
80-84 years,Male,2500
80-84 years,Female,2500
85-89 years,Male,1500
85-89 years,Female,1500
90plus years,Male,1000
90plus years,Female,1000
